,motif,N,K,n,x,p
0,EEEEEE,1000,500,350,244,2.2822360070284086e-20
1,DDDEEE,1000,500,62,49,1.2167139108370212e-06
2,EEEEE,1000,500,387,271,2.6452135668464784e-24
3,BBGGG,1000,500,58,46,2.242258198691352e-06
4,EEEEEEE,1000,500,306,212,2.6327626546131643e-16
5,AAAAA,1000,500,267,210,5.0329109852125953e-29
6,DEEEEE,1000,500,51,38,0.0002239694612488
7,ABBBB,1000,500,58,51,4.3725535792484844e-10
8,EEEEEEEEE,1000,500,242,163,3.2862234667873964e-10
9,DEEEEEE,1000,500,45,35,8.950093218726399e-05
10,BBBBBAA,1000,500,22,19,0.0003774736403273
11,DDDDDDD,1000,500,207,177,8.754780426439499e-33
12,CCFFF,1000,500,13,13,0.0001127990348845
13,EEEEF,1000,500,18,17,6.409505886412278e-05
14,GGGGGG,1000,500,90,64,1.728370310926781e-05
15,EEEEEEEEEE,1000,500,218,147,3.517514422994389e-09
16,DDDDEEEEEEE,1000,500,37,30,7.304856418353754e-05
17,EEEEEED,1000,500,128,99,1.1697447066399719e-11
18,CCCCCC,1000,500,26,24,4.131235492829671e-06
19,EEEEEEEEED,1000,500,83,64,1.2342239894812542e-07
20,GGEEEE,1000,500,80,54,0.0007543956116161
21,DDDDDDDEEE,1000,500,41,32,0.0001642730376201
22,EEEEEEEEEEE,1000,500,187,126,8.361085645903451e-08
23,DDDDEEEEEE,1000,500,41,32,0.0001642730376201
24,EEEEEEEE,1000,500,270,183,4.502750117749799e-12
25,AAEEE,1000,500,54,40,0.0001877043144812
26,BBBBB,1000,500,58,48,1.0613884874661969e-07
27,DDDEE,1000,500,69,56,3.1548109336593685e-08
28,CCCCC,1000,500,31,29,1.608504783816566e-07
29,GBBBA,1000,511,24,21,0.0001773280620829
30,EEEAAA,1000,511,42,34,4.4234554608750056e-05
31,DFFFF,1000,511,16,15,0.000322647795396
32,GBBBB,1000,511,27,22,0.0009664462886812
33,CCFFFF,1000,511,18,18,4.862622818958344e-06
34,EEEEEDDD,1000,511,96,72,4.3524457927432857e-07
35,FFFFF,1000,511,59,56,4.6706560604812125e-14
36,FFFFFFD,1000,511,20,19,2.556183449592867e-05
37,EEEAA,1000,511,47,37,6.312803428900766e-05
38,DDDDD,1000,511,229,192,1.339113607024483e-31
39,OOOAAAAA,1000,511,50,38,0.0001972216907365
40,EEEEEEEEEDDD,1000,511,54,40,0.0003456680236916
41,EEEEDDD,1000,511,106,80,5.2528279220136695e-08
42,AAAEEEEE,1000,511,33,26,0.0008507740003443
43,AAAAEEEE,1000,511,37,30,0.0001237583541982
44,BBAAA,1000,511,112,96,4.349533867692379e-16
45,EEEEEEEE,1000,511,245,164,6.762667217013994e-09
46,DDDDE,1000,511,69,49,0.0004043847379779
47,EEEAAAA,1000,511,40,33,2.7176157524869832e-05
48,EEEEEEEED,1000,511,73,51,0.0005816362268531
49,FFFFFFFFF,1000,511,25,24,9.986889495734363e-07
50,FFFFFFF,1000,511,37,36,3.28444745916061e-10
51,FFFFFF,1000,511,49,47,2.1496275974684176e-12
52,DDDDDD,1000,511,220,183,6.977751291740217e-29
53,AAABB,1000,511,133,107,6.4005108648135e-14
54,EEEEEED,1000,511,93,68,4.793474206407064e-06
55,OOOAAA,1000,511,57,41,0.0008200477935562
56,GBBAA,1000,511,40,31,0.0004411363926938
57,BBBBB,1000,511,53,40,0.0001724100707179
58,EEDDD,1000,511,131,102,1.4862591378656877e-11
59,EEEEEEE,1000,511,283,194,2.1044023204963266e-12
60,EEEEE,1000,511,356,246,1.1179212258705621e-17
61,CFFFF,1000,511,20,19,2.556183449592867e-05
62,ABBBB,1000,511,57,43,9.757441478942293e-05
63,CCFFFFF,1000,511,14,14,7.57813141751238e-05
64,AAABBBB,1000,511,40,32,0.0001178979623102
65,BBBAAA,1000,511,57,51,2.795018425446672e-10
66,EEEDDD,1000,511,124,95,4.776419372955723e-10
67,AAAEE,1000,511,51,41,9.173766063480654e-06
68,AAAAA,1000,511,274,225,1.999306848545443e-35
69,EEEED,1000,511,124,92,1.868750396505614e-08
70,FFFFFFFFFFF,1000,511,15,14,0.0006019465036704
71,GBBBAA,1000,511,22,20,7.739286911854258e-05
72,DDDEEEE,1000,511,57,41,0.0008200477935562
73,CCAAA,1000,511,12,12,0.0002973762915622
74,GGBBB,1000,511,36,30,4.497833705210871e-05
75,FFFFFD,1000,511,28,26,1.9535617509518844e-06
76,BBBBA,1000,511,37,30,0.0001237583541982
77,CCCAA,1000,511,10,10,0.0011623317398474
78,AAAAA,1000,504,283,223,8.13124731583601e-31
79,AAAAAAAAAEEE,1000,504,24,23,1.4069746200843017e-06
80,EEEEEEEEDD,1000,504,51,37,0.00081840391008
81,BAAAAA,1000,504,123,100,4.2780846635035554e-14
82,EEEED,1000,504,116,92,9.748256332670028e-12
83,FFFFFFFFF,1000,504,35,33,1.4636357721330608e-08
84,FFFFFFF,1000,504,55,50,5.456320663867191e-11
85,AAAAAA,1000,504,252,202,3.7044864744218065e-29
86,AAEEE,1000,504,40,31,0.0003198130228014
87,EEDDD,1000,504,121,95,1.262304674428621e-11
88,FFFDDD,1000,504,37,32,3.2183541616973025e-06
89,FFFFD,1000,504,29,26,7.083340949743335e-06
90,DDEEE,1000,504,55,40,0.0004540702624966
91,EEEEEEDD,1000,504,78,61,1.4681133522021237e-07
92,BBBAA,1000,504,72,56,7.220146895064821e-07
93,OAAAA,1000,504,58,41,0.0010144428961402
94,CCAAA,1000,504,26,26,1.3202544692110722e-08
95,EEEAAAA,1000,504,37,30,8.866987041729563e-05
96,GBAAAAA,1000,504,21,20,1.028000509995824e-05
97,EEEEEEED,1000,504,70,52,2.120469662196408e-05
98,EAAAAA,1000,504,47,39,2.194823755436327e-06
99,BAAAA,1000,504,150,124,7.520589117002174e-19
100,DDDEE,1000,504,58,44,4.054314201255413e-05
101,EAAAA,1000,504,49,39,1.5926319110171128e-05
102,FFFFFFFCCCC,1000,504,10,10,0.0010113199042275
103,CCCFFF,1000,504,20,18,0.0002027462051195
104,FFFFF,1000,504,80,73,4.955344633763474e-16
105,AAAAAAAEEE,1000,504,29,25,4.957725294072281e-05
106,GBAAAA,1000,504,23,22,2.737912928984079e-06
107,CCCCCF,1000,504,25,23,9.294420499850891e-06
108,GGBAAA,1000,504,12,12,0.0002515538316585
109,BBAAA,1000,504,117,86,5.495204690955129e-08
110,AAAAAEEE,1000,504,34,27,0.0003972803930788
111,FFDDD,1000,504,48,40,1.2777809835041144e-06
112,FFCCC,1000,504,19,19,1.8694772161160484e-06
113,AAAAACCCCC,1000,504,19,18,3.812040990064465e-05
114,BBAAAA,1000,504,97,75,1.0368686918671962e-08
115,AAAAAAA,1000,504,222,180,1.5251987323730594e-26
