motif,N,K,n,x,p
BBBBGG,1000,503,24,21,0.00013217694497022746
BGGGGG,1000,503,39,31,0.00012995638477345038
EEEEEE,1000,503,375,270,5.009082063764196e-27
AABBBBB,1000,503,28,26,1.321859194242821e-06
EEGGG,1000,503,55,41,0.00014434672079018497
DDEEE,1000,503,78,59,1.7617452216064811e-06
BBBBB,1000,503,43,37,6.087467226731541e-07
ABBGGG,1000,503,26,22,0.0002543390712308881
EEEEED,1000,503,148,122,2.0515642382641826e-18
GGGBA,1000,503,16,15,0.0002574584429413773
BBBBG,1000,503,32,27,5.091671406095778e-05
GGGGGG,1000,503,67,48,0.0002012233388878062
AAAAE,1000,503,61,53,6.890939747562414e-10
EEDDD,1000,503,173,141,1.3582385550384083e-20
BBGGG,1000,503,55,45,6.797503839734283e-07
AAAAA,1000,503,260,198,5.2646122622395986e-23
AAEEE,1000,503,57,46,1.0926730745817516e-06
BGGGG,1000,503,53,44,4.039847659864853e-07
EEEDD,1000,503,174,142,7.270481019099933e-21
EEEAA,1000,503,31,25,0.00041294742028970586
EEEGB,1000,503,17,16,0.00013518626691857443
EEEEE,1000,503,410,299,1.133588938720593e-33
