motif,N,K,n,x,p
CCAAA,1000,503,25,21,0.00043908118241558483
EEEEEEE,1000,503,272,174,8.044337831432005e-08
EEEEEEEED,1000,503,59,45,2.4068906351206056e-05
EEEEEEEE,1000,503,232,144,2.7779652908400738e-05
EEEEG,1000,503,96,72,1.8795803050003618e-07
EEEEEEDDDD,1000,503,70,54,1.7368519680340021e-06
EEEEE,1000,503,355,234,1.362965464583351e-13
FFFFDDD,1000,503,30,27,3.672217975120615e-06
EEEEEE,1000,503,309,203,4.4912556232073675e-11
EEEDD,1000,503,131,102,3.9619914665060185e-12
DFFFF,1000,503,28,23,0.0004347175796622763
FFFDD,1000,503,38,34,2.309791600247622e-07
CFFFF,1000,503,21,19,0.00010676115388213391
FFFFD,1000,503,31,28,1.9874480321144015e-06
EEEGG,1000,503,69,51,3.041261250544748e-05
FFFFF,1000,503,67,59,1.7868191484306353e-11
CCCCCCC,1000,503,41,37,3.624965557143293e-08
EEEEEED,1000,503,86,68,9.482365412642411e-09
FFFFFFF,1000,503,44,38,3.4167822921745994e-07
GEEEE,1000,503,97,64,0.000774880447014192
EEEEED,1000,503,100,78,2.0487030694463684e-09
BBBBBB,1000,503,36,31,5.40255784076694e-06
AAEEE,1000,503,70,51,5.91803980222974e-05
DEEEE,1000,503,63,45,0.00036352801142667233
BBBAA,1000,503,70,59,8.968720437116829e-10
FFDDD,1000,503,48,44,4.2778420289445767e-10
FFFFFF,1000,503,53,45,7.366649982813613e-08
EEEEEEDDD,1000,503,74,57,9.365741128322809e-07
EEEEEAA,1000,503,35,31,1.4209102787583385e-06
CCFFFF,1000,503,18,17,7.069173663607379e-05
EEEEGG,1000,503,57,41,0.0005346491202844054
BBBBBA,1000,503,24,21,0.00013217694497022746
GGGGG,1000,503,98,67,0.00010978208561330171
EEEEF,1000,503,25,22,7.371899498076349e-05
