motif,N,K,n,x,p
AAAAAAA,1000,483,266,158,1.5755072698669978e-05
FFFFF,1000,483,85,64,1.116263141455634e-07
AAAAAAAA,1000,483,214,127,0.00017535628332356016
EEEEDDDD,1000,483,105,76,1.1106669708466756e-07
EEEEDDD,1000,483,118,83,2.1867015312887377e-07
FDDDDD,1000,483,72,50,0.00013891289897402623
DDDDD,1000,483,278,206,9.591985570532199e-25
AAAAAA,1000,483,324,188,1.3494820907215119e-05
EEEDDD,1000,483,130,92,2.4112916931832167e-08
EEEEDD,1000,483,133,92,1.5043545028609213e-07
AAAACCCCC,1000,483,18,16,0.000361227587504843
CCCCCC,1000,483,47,38,2.73885193424304e-06
EEEDD,1000,483,146,101,3.0090278561016235e-08
