motif,N,K,n,x,p
CCCC,1000,483,73,57,6.443208421881122e-08
AAAA,1000,483,433,237,0.00023537269265762938
AAAAAAA,1000,483,266,158,1.5755072698669978e-05
EED,1000,483,166,112,4.106442363498047e-08
FFFD,1000,483,55,44,7.129978125229382e-07
AAA,1000,483,486,261,0.0005487111259041747
CCF,1000,483,43,36,9.997184485894362e-07
CCCF,1000,483,32,25,0.0004560096293698667
DDDD,1000,483,298,218,3.157280890440298e-25
CCC,1000,483,92,73,1.5289273591448496e-10
FFFFF,1000,483,85,64,1.116263141455634e-07
AAAAAAAA,1000,483,214,127,0.00017535628332356016
EEED,1000,483,150,102,1.0789600523829272e-07
FFFF,1000,483,105,81,1.7793817231230035e-10
EEEEDDDD,1000,483,105,76,1.1106669708466756e-07
EEEEDDD,1000,483,118,83,2.1867015312887377e-07
FDDDDD,1000,483,72,50,0.00013891289897402623
DDDDD,1000,483,278,206,9.591985570532199e-25
CFF,1000,483,43,37,1.6033904728812948e-07
AAAAAA,1000,483,324,188,1.3494820907215119e-05
EEEDDD,1000,483,130,92,2.4112916931832167e-08
DDD,1000,483,322,232,1.1042419840602544e-25
EEEEDD,1000,483,133,92,1.5043545028609213e-07
AAAACCCCC,1000,483,18,16,0.000361227587504843
CCCCCC,1000,483,47,38,2.73885193424304e-06
EDDD,1000,483,167,118,1.3685595818545034e-10
FDDD,1000,483,86,61,7.644173049148045e-06
EEEDD,1000,483,146,101,3.0090278561016235e-08
