motif,N,K,n,x,p
AEEE,1000,503,67,55,2.549499936609183e-08
EDDD,1000,503,184,151,7.389376513331287e-23
BBBB,1000,503,77,65,9.287663225517178e-11
DDEE,1000,503,86,65,5.025524811129602e-07
EEDD,1000,503,187,152,3.7118837513901286e-22
EAAAA,1000,503,41,31,0.0006617013029667065
ABBB,1000,503,88,71,7.546696710299893e-10
AAEE,1000,503,63,52,4.4974642215304376e-08
BBBBGG,1000,503,24,21,0.00013217694497022746
BGGGGG,1000,503,39,31,0.00012995638477345038
EEEEEE,1000,503,375,270,5.009082063764196e-27
AAAA,1000,503,300,229,4.8473894553098065e-28
AABB,1000,503,138,109,9.106796135969671e-14
GGBB,1000,503,46,35,0.00023194674584215685
AABBBBB,1000,503,28,26,1.321859194242821e-06
EEGGG,1000,503,55,41,0.00014434672079018497
FFFF,1000,503,55,46,1.346607564589093e-07
DDEEE,1000,503,78,59,1.7617452216064811e-06
EEGB,1000,503,17,16,0.00013518626691857443
GGGG,1000,503,133,92,1.8231278255291965e-06
BBBBB,1000,503,43,37,6.087467226731541e-07
ABBGGG,1000,503,26,22,0.0002543390712308881
EEEEED,1000,503,148,122,2.0515642382641826e-18
GGGBA,1000,503,16,15,0.0002574584429413773
EEEE,1000,503,439,324,1.1282162580903631e-40
FFDD,1000,503,40,31,0.0003052569072548796
BBBBG,1000,503,32,27,5.091671406095778e-05
GGGGGG,1000,503,67,48,0.0002012233388878062
AAAAE,1000,503,61,53,6.890939747562414e-10
EEDDD,1000,503,173,141,1.3582385550384083e-20
DEEE,1000,503,81,62,4.3328108535623754e-07
EEED,1000,503,179,147,3.063800370077861e-22
BGGG,1000,503,73,60,4.821732091855375e-09
BBBA,1000,503,63,50,9.304210288927924e-07
BBGGG,1000,503,55,45,6.797503839734283e-07
FFFD,1000,503,30,25,0.00015082617227208612
GBBB,1000,503,46,35,0.00023194674584215685
GGGGEE,1000,503,54,39,0.0006461119108841096
GGGB,1000,503,52,39,0.00017017629358678506
AAAAA,1000,503,260,198,5.2646122622395986e-23
AAEEE,1000,503,57,46,1.0926730745817516e-06
ABBG,1000,503,32,26,0.0002482519603897024
GGGE,1000,503,78,57,1.7533344852318705e-05
BGGGG,1000,503,53,44,4.039847659864853e-07
EEEDD,1000,503,174,142,7.270481019099933e-21
BBBG,1000,503,54,41,6.962177394701386e-05
EEEG,1000,503,98,72,7.79537886781478e-07
EEEAA,1000,503,31,25,0.00041294742028970586
EEEGB,1000,503,17,16,0.00013518626691857443
DDDE,1000,503,88,67,1.970122763082353e-07
EEGG,1000,503,78,58,5.7506413692945465e-06
EEEEE,1000,503,410,299,1.133588938720593e-33
