motif,N,K,n,x,p
AAAAA,1000,504,283,223,8.13124731583601e-31
AAAAAAAAAEEE,1000,504,24,23,1.4069746200843015e-06
EEEEEEEEDD,1000,504,51,37,0.0008184039100800657
BAAAAA,1000,504,123,100,4.2780846635035554e-14
EEEED,1000,504,116,92,9.748256332670028e-12
FFFFFFFFF,1000,504,35,33,1.4636357721330608e-08
FFFFFFF,1000,504,55,50,5.456320663867191e-11
AAAAAA,1000,504,252,202,3.704486474421807e-29
AAEEE,1000,504,40,31,0.00031981302280141506
EEDDD,1000,504,121,95,1.262304674428621e-11
FFFDDD,1000,504,37,32,3.2183541616973025e-06
FFFFD,1000,504,29,26,7.083340949743335e-06
DDEEE,1000,504,55,40,0.0004540702624966275
EEEEEEDD,1000,504,78,61,1.4681133522021237e-07
BBBAA,1000,504,72,56,7.220146895064821e-07
OAAAA,1000,504,58,41,0.0010144428961402297
CCAAA,1000,504,26,26,1.320254469211072e-08
EEEAAAA,1000,504,37,30,8.866987041729563e-05
GBAAAAA,1000,504,21,20,1.0280005099958241e-05
EEEEEEED,1000,504,70,52,2.120469662196408e-05
EAAAAA,1000,504,47,39,2.194823755436327e-06
BAAAA,1000,504,150,124,7.520589117002173e-19
DDDEE,1000,504,58,44,4.054314201255413e-05
EAAAA,1000,504,49,39,1.5926319110171128e-05
FFFFFFFCCCC,1000,504,10,10,0.0010113199042275614
CCCFFF,1000,504,20,18,0.00020274620511953793
FFFFF,1000,504,80,73,4.955344633763474e-16
AAAAAAAEEE,1000,504,29,25,4.957725294072281e-05
GBAAAA,1000,504,23,22,2.737912928984079e-06
CCCCCF,1000,504,25,23,9.294420499850891e-06
GGBAAA,1000,504,12,12,0.00025155383165850694
BBAAA,1000,504,117,86,5.495204690955128e-08
AAAAAEEE,1000,504,34,27,0.000397280393078808
FFDDD,1000,504,48,40,1.2777809835041144e-06
FFCCC,1000,504,19,19,1.8694772161160484e-06
AAAAACCCCC,1000,504,19,18,3.812040990064465e-05
BBAAAA,1000,504,97,75,1.0368686918671962e-08
AAAAAAA,1000,504,222,180,1.5251987323730597e-26
